Year,Month,Day,Hour,Minute,GHI,Wind Speed,Relative Humidity,Temperature,Pressure
2019,1,1,0,0,0,0.6,81.83,24.1,1014
2019,1,1,0,30,0,0.6,82.73,23.9,1013
2019,1,1,1,0,0,0.6,85.26,23.7,1013
2019,1,1,1,30,0,0.6,86.8,23.4,1013
2019,1,1,2,0,0,0.6,89.15,23.2,1013
2019,1,1,2,30,0,0.6,90.23,23,1013
2019,1,1,3,0,0,0.6,92.13,22.9,1013
2019,1,1,3,30,0,0.6,93.25,22.7,1013
2019,1,1,4,0,0,0.6,94.94,22.5,1013
2019,1,1,4,30,0,0.6,95.52,22.4,1013
2019,1,1,5,0,0,0.6,96.89,22.2,1014
2019,1,1,5,30,0,0.6,97.48,22.1,1014
2019,1,1,6,0,0,0.6,97.98,22,1014
2019,1,1,6,30,2,0.7,95.72,22.4,1015
2019,1,1,7,0,53,0.8,93.61,22.8,1015
2019,1,1,7,30,148,0.8,87.1,24,1015
2019,1,1,8,0,255,0.9,81.14,25.1,1015
2019,1,1,8,30,357,0.9,75.15,26.4,1015
2019,1,1,9,0,425,0.9,66.52,27.7,1015
2019,1,1,9,30,431,0.9,62.77,28.7,1015
2019,1,1,10,0,458,0.9,57.83,29.6,1015
2019,1,1,10,30,432,0.8,55.82,30.2,1014
2019,1,1,11,0,408,0.8,51.66,30.9,1013
2019,1,1,11,30,386,0.8,50.21,31.4,1013
2019,1,1,12,0,367,0.7,47.14,31.8,1012
2019,1,1,12,30,405,0.7,46.3,32.1,1011
2019,1,1,13,0,453,0.7,43.73,32.4,1011
2019,1,1,13,30,557,0.7,43.48,32.5,1011
2019,1,1,14,0,623,0.7,41.52,32.6,1010
2019,1,1,14,30,478,0.7,41.99,32.4,1010
2019,1,1,15,0,288,0.7,40.7,32.3,1010
2019,1,1,15,30,240,0.7,41.91,31.8,1011
2019,1,1,16,0,240,0.7,42.21,31.3,1011
2019,1,1,16,30,116,0.7,44.17,30.5,1011
2019,1,1,17,0,58,0.7,47.55,29.6,1011
2019,1,1,17,30,5,0.7,47.55,29.6,1011
2019,1,1,18,0,0,0.8,53.29,28,1012
2019,1,1,18,30,0,0.8,54.92,27.5,1013
2019,1,1,19,0,0,0.8,56.81,27,1013
2019,1,1,19,30,0,0.8,58.16,26.6,1013
2019,1,1,20,0,0,0.8,59.74,26.1,1014
2019,1,1,20,30,0,0.8,60.81,25.8,1014
2019,1,1,21,0,0,0.8,61.84,25.4,1014
2019,1,1,21,30,0,0.8,62.95,25.1,1014
2019,1,1,22,0,0,0.8,63.8,24.8,1014
2019,1,1,22,30,0,0.8,64.94,24.5,1014
2019,1,1,23,0,0,0.7,66.54,24.2,1014
2019,1,1,23,30,0,0.7,67.75,23.9,1014
2019,1,2,0,0,0,0.7,70.02,23.6,1015
2019,1,2,0,30,0,0.6,70.79,23.4,1014
2019,1,2,1,0,0,0.6,73.3,23.1,1014
2019,1,2,1,30,0,0.6,74.18,22.9,1014
2019,1,2,2,0,0,0.6,76.53,22.7,1014
2019,1,2,2,30,0,0.6,77,22.6,1014
2019,1,2,3,0,0,0.7,79.16,22.5,1014
2019,1,2,3,30,0,0.7,80.13,22.3,1014
2019,1,2,4,0,0,0.7,82.78,22.1,1014
2019,1,2,4,30,0,0.7,83.29,22,1014
2019,1,2,5,0,0,0.7,85.7,21.8,1014
2019,1,2,5,30,0,0.7,86.75,21.6,1014
2019,1,2,6,0,0,0.7,89.15,21.4,1015
2019,1,2,6,30,2,0.7,87.01,21.8,1015
2019,1,2,7,0,55,0.7,86.36,22.2,1015
2019,1,2,7,30,151,0.8,79.92,23.5,1016
2019,1,2,8,0,259,0.9,74.6,24.8,1016
2019,1,2,8,30,365,0.9,68.74,26.2,1017
2019,1,2,9,0,464,0.9,60.33,27.5,1017
2019,1,2,9,30,552,0.9,57.54,28.3,1016
2019,1,2,10,0,628,0.8,51.07,29.2,1016
2019,1,2,10,30,690,0.8,49.34,29.8,1016
2019,1,2,11,0,735,0.7,45.75,30.4,1015
2019,1,2,11,30,763,0.7,44.68,30.8,1014
2019,1,2,12,0,772,0.6,42.24,31.3,1013
2019,1,2,12,30,764,0.6,41.49,31.6,1012
2019,1,2,13,0,738,0.6,40.09,31.9,1012
2019,1,2,13,30,695,0.6,39.82,32,1011
2019,1,2,14,0,621,0.7,39.03,32.2,1011
2019,1,2,14,30,519,0.7,39.47,32,1011
2019,1,2,15,0,466,0.7,39.68,31.9,1011
2019,1,2,15,30,365,0.6,40.59,31.5,1011
2019,1,2,16,0,221,0.6,41.85,31.1,1011
2019,1,2,16,30,164,0.6,43.79,30.3,1011
2019,1,2,17,0,67,0.5,47.16,29.5,1011
2019,1,2,17,30,6,0.5,47.16,29.5,1011
2019,1,2,18,0,0,0.4,52.14,28.2,1011
2019,1,2,18,30,0,0.4,54.04,27.6,1012
2019,1,2,19,0,0,0.4,56.84,27.1,1012
2019,1,2,19,30,0,0.4,58.19,26.7,1012
2019,1,2,20,0,0,0.4,60.45,26.3,1013
2019,1,2,20,30,0,0.4,61.17,26.1,1013
2019,1,2,21,0,0,0.5,62.54,25.9,1013
2019,1,2,21,30,0,0.6,63.66,25.6,1013
2019,1,2,22,0,0,0.7,66.12,25.3,1013
2019,1,2,22,30,0,0.7,67.31,25,1013
2019,1,2,23,0,0,0.8,71.24,24.6,1013
2019,1,2,23,30,0,0.8,72.53,24.3,1013
2019,1,3,0,0,0,0.8,76.41,24,1013
2019,1,3,0,30,0,0.7,77.72,23.7,1012
2019,1,3,1,0,0,0.7,81.42,23.4,1012
2019,1,3,1,30,0,0.7,82.91,23.1,1012
2019,1,3,2,0,0,0.7,86.29,22.8,1012
2019,1,3,2,30,0,0.6,87.34,22.6,1012
2019,1,3,3,0,0,0.6,89.83,22.4,1013
2019,1,3,3,30,0,0.6,90.92,22.2,1013
2019,1,3,4,0,0,0.6,92.35,22.1,1013
2019,1,3,4,30,0,0.6,92.91,22,1013
2019,1,3,5,0,0,0.6,94.6,21.8,1013
2019,1,3,5,30,0,0.6,95.18,21.7,1013
